Club,Team,Competition,GameGuid,Date,Opponent,HomeScore,AwayScore,Side,Number,Name,NormalizedMinutes,PlusMinus,Faults,TotalScore,ThreePointers,FieldGoals,FreeThrows,TotalScorePerMinute,PlusMinusPerMinute
BBC Haantjes Certifisc Oudenaarde,BBC Haantjes Certifisc Oudenaarde HSE B,3e Prov. Heren Oost-Vlaanderen B,BVBL25269130OVHSE31BCA,za 13 september om 22:15,BBC Hotshots Destelbergen HSE B,43,66,home,5,Rémi Bauters,13,-4,5,0,0p,0p,0p,0.00,-0.30
BBC Haantjes Certifisc Oudenaarde,BBC Haantjes Certifisc Oudenaarde HSE B,3e Prov. Heren Oost-Vlaanderen B,BVBL25269130OVHSE31BCA,za 13 september om 22:15,BBC Hotshots Destelbergen HSE B,43,66,home,6,Thomas Goossens,15,-7,0,0,0p,0p,0p,0.00,-0.50
BBC Haantjes Certifisc Oudenaarde,BBC Haantjes Certifisc Oudenaarde HSE B,3e Prov. Heren Oost-Vlaanderen B,BVBL25269130OVHSE31BCA,za 13 september om 22:15,BBC Hotshots Destelbergen HSE B,43,66,home,7,Mauro Boudringhien,7,-5,0,0,0p,0p,0p,0.00,-0.70
BBC Haantjes Certifisc Oudenaarde,BBC Haantjes Certifisc Oudenaarde HSE B,3e Prov. Heren Oost-Vlaanderen B,BVBL25269130OVHSE31BCA,za 13 september om 22:15,BBC Hotshots Destelbergen HSE B,43,66,home,8,Mathieu De Clercq,23,-18,3,12,12p,0p,0p,0.50,-0.80
BBC Haantjes Certifisc Oudenaarde,BBC Haantjes Certifisc Oudenaarde HSE B,3e Prov. Heren Oost-Vlaanderen B,BVBL25269130OVHSE31BCA,za 13 september om 22:15,BBC Hotshots Destelbergen HSE B,43,66,home,9,Matti Bogaert,27,-12,4,5,3p,0p,2p,0.20,-0.40
BBC Haantjes Certifisc Oudenaarde,BBC Haantjes Certifisc Oudenaarde HSE B,3e Prov. Heren Oost-Vlaanderen B,BVBL25269130OVHSE31BCA,za 13 september om 22:15,BBC Hotshots Destelbergen HSE B,43,66,home,10,Emiel Vanderhelstraeten,10,-4,0,1,0p,0p,1p,0.10,-0.40
BBC Haantjes Certifisc Oudenaarde,BBC Haantjes Certifisc Oudenaarde HSE B,3e Prov. Heren Oost-Vlaanderen B,BVBL25269130OVHSE31BCA,za 13 september om 22:15,BBC Hotshots Destelbergen HSE B,43,66,home,11,Jaden-James Van Handenhoven,13,-11,0,2,0p,2p,0p,0.20,-0.80
BBC Haantjes Certifisc Oudenaarde,BBC Haantjes Certifisc Oudenaarde HSE B,3e Prov. Heren Oost-Vlaanderen B,BVBL25269130OVHSE31BCA,za 13 september om 22:15,BBC Hotshots Destelbergen HSE B,43,66,home,12,Brecht Van Glabeke,37,-25,0,10,3p,6p,1p,0.30,-0.70
BBC Haantjes Certifisc Oudenaarde,BBC Haantjes Certifisc Oudenaarde HSE B,3e Prov. Heren Oost-Vlaanderen B,BVBL25269130OVHSE31BCA,za 13 september om 22:15,BBC Hotshots Destelbergen HSE B,43,66,home,13,Dylann Bufkens,11,-5,4,2,0p,2p,0p,0.20,-0.50
BBC Haantjes Certifisc Oudenaarde,BBC Haantjes Certifisc Oudenaarde HSE B,3e Prov. Heren Oost-Vlaanderen B,BVBL25269130OVHSE31BCA,za 13 september om 22:15,BBC Hotshots Destelbergen HSE B,43,66,home,14,Milan De Brabander,29,-12,2,9,3p,6p,0p,0.30,-0.40
