guid,wedID,tTGUID,tTNaam,tTKleur,tUGUID,tUNaam,tUKleur,datumString,jsDTCode,accGUID,accNaam,pouleGUID,pouleNaam,uitslag,beginTijd,wedOff
BVBL25261037OR00040501,OR0004050101,BVBL1037HSE  1,BBC Haantjes Certifisc Oudenaarde HSE A,#ffff00,BVBL1048HSE  1,Blue Rocks Ronse-Kluisbergen HSE A,#000080,07-08-2025,1754596800000,BVBL100343,Rode Los,BVBL25261037OR000405,BBC Haantjes Oudenaarde OEFEN, 61- 55,20.00,"['Patrick Van Herzele', 'Johan Meirlaen']"
BVBL25261034OR00032004,OR0003200401,BVBL1034DSE  4,G&V Breakpoint Basket Waregem DSE D,#ff0000,BVBL1037DSE  1,BBC Haantjes Certifisc Oudenaarde DSE A,#ffff00,09-08-2025,1754760600000,BVBL100240,De Treffer (Stedelijke Sporthal),BVBL25261034OR000320,Koninklijk Basket Team ION Waregem OEFEN, 61- 76,17.30,"['Geert Rigolle', 'Franky Ledoux']"
BVBL25269100BLAHSEPGCD,BLAHSEPGCD01,BVBL1189HSE  2,Oxaco BBC Boechout HSE B,#00ff00,BVBL1037HSE  1,BBC Haantjes Certifisc Oudenaarde HSE A,#ffff00,09-08-2025,1754764200000,BVBL600005,Sportpark Sneppenbos,BVBL25269100BLAHSEPG,Beker van Vlaanderen Heren Poule G, 81- 74,18.30,"['Vincent Villé', 'Evgeny Sankin']"
BVBL25261037OR00040503,OR0004050301,BVBL1037HSE  1,BBC Haantjes Certifisc Oudenaarde HSE A,#ffff00,BVBL1276HSE  1,Midwest All-in Garden Tielt HSE A,#000000,10-08-2025,1754845200000,BVBL100343,Rode Los,BVBL25261037OR000405,BBC Haantjes Oudenaarde OEFEN, 85- 56,17.00,"['Christophe Debommarez', 'Ferre Rigolle']"
BVBL25261037OR00040514,OR0004051401,BVBL1037DSE  1,BBC Haantjes Certifisc Oudenaarde DSE A,#ffff00,BVBL1326DSE  2,DBC Osiris Okapi Aalst DSE B,#0000ff,13-08-2025,1755117000000,BVBL100343,Rode Los,BVBL25261037OR000405,BBC Haantjes Oudenaarde OEFEN, 28- 60,20.30,"['Cedric De Weirt', 'Peter Rogiest']"
BVBL25261180OR00145016,OR0014501601,BVBL1161HSE  1,KBBC Bavi Gent HSE A,#0000ff,BVBL1037HSE  1,BBC Haantjes Certifisc Oudenaarde HSE A,#ffff00,15-08-2025,1755270000000,BVBL100311,Sporthal Flabbaert,BVBL25261180OR001450,Jumbo Elektrooghe Gembas Knesselare OEFEN, 63- 69,15.00,"['Christophe Debommarez', 'Pieter Eykelberg']"
BVBL25269100BLAHSEPGDA,BLAHSEPGDA05,BVBL1037HSE  1,BBC Haantjes Certifisc Oudenaarde HSE A,#ffff00,BVBL1125HSE  3,Stella Artois Leuven Bears HSE C,#000000,17-08-2025,1755450000000,BVBL100343,Rode Los,BVBL25269100BLAHSEPG,Beker van Vlaanderen Heren Poule G, 96- 77,17.00,"[""Yaroslav Ollev'ye"", 'Tom Versaevel']"
BVBL25261289OR00208911,OR0020891101,BVBL1289DSE  1,BBC Wildcats Gavere DSE A,#ffa500,BVBL1037DSE  1,BBC Haantjes Certifisc Oudenaarde DSE A,#ffff00,21-08-2025,1755806400000,BVBL660103,Scaldis Gavere,BVBL25261289OR002089,Wildcats Gavere OEFEN,,20.00,"['Tom Goeteyn', 'Aaron Geenens']"
BVBL25269100BLAG14PCAB,BLAG14PCAB01,BVBL1037G14  1,BBC Haantjes Certifisc Oudenaarde G14 A,#ffff00,BVBL1414G14  1,Amon Jeugd Gentson G14 A,#ff0000,23-08-2025,1755952200000,BVBL100343,Rode Los,BVBL25269100BLAG14PC,Beker van Vlaanderen U14 Poule C,,12.30,"['Patrick Van Herzele', 'Michiel Niemegeers']"
BVBL25269100BLAJ16PBAB,BLAJ16PBAB01,BVBL1037J16  1,BBC Haantjes Certifisc Oudenaarde J16 A,#ffff00,BVBL1024J16  1,Okapi Aalst J16 A,#0000ff,23-08-2025,1755968400000,BVBL100343,Rode Los,BVBL25269100BLAJ16PB,Beker van Vlaanderen U16 Poule B,,17.00,"['Dieter Blomme', 'Tom Van Wassenbergh']"
BVBL25269100BLAJ18PNAB,BLAJ18PNAB01,BVBL1037J18  1,BBC Haantjes Certifisc Oudenaarde J18 A,#ffff00,BVBL1225J18  1,Campinia Dessel-Retie J18 A,#ff0000,23-08-2025,1755960300000,BVBL100343,Rode Los,BVBL25269100BLAJ18PN,Beker van Vlaanderen U18 Poule N,,14.45,"['Patrick Van Herzele', 'Kobe Vanoosthuyse']"
BVBL25261037OR00040506,OR0004050601,BVBL1037DSE  1,BBC Haantjes Certifisc Oudenaarde DSE A,#ffff00,BVBL1551DSE  1,Torhout Lions DSE A,,24-08-2025,1756051200000,BVBL100343,Rode Los,BVBL25261037OR000405,BBC Haantjes Oudenaarde OEFEN,,16.00,"['Daan Van de Velde', 'Dieter Blomme']"
BVBL25269100BLAHSEPGDE,BLAHSEPGDE03,BVBL1037HSE  1,BBC Haantjes Certifisc Oudenaarde HSE A,#ffff00,BVBL1051HSE  2,KBGO Finexa Basket@Sea HSE B,#ffff00,24-08-2025,1756054800000,BVBL100343,Rode Los,BVBL25269100BLAHSEPG,Beker van Vlaanderen Heren Poule G,,17.00,"['Kevin Missinne', 'Aaron De Winne']"
BVBL25261326OR00231704,OR0023170401,BVBL1326DSE  2,DBC Osiris Okapi Aalst DSE B,#0000ff,BVBL1037DSE  1,BBC Haantjes Certifisc Oudenaarde DSE A,#ffff00,28-08-2025,1756414800000,BVBL100281,Forum Aalst,BVBL25261326OR002317,Dbc Osiris Aalst OEFEN,,21.00,"['Patrick Van Herzele', 'Francis Kouemou']"
BVBL25261037OR00040523,OR0004052301,BVBL1037J18  2,BBC Haantjes Certifisc Oudenaarde J18 B,#ffff00,BVBL1093J18  1,Rozenbeka Oostrozebeke J18 A,#ffc845,29-08-2025,1756491600000,BVBL100343,Rode Los,BVBL25261037OR000405,BBC Haantjes Oudenaarde OEFEN,,18.20,"['Ferre Rigolle', 'Geert Rigolle']"
BVBL25261037OR00040504,OR0004050401,BVBL1037DSE  1,BBC Haantjes Certifisc Oudenaarde DSE A,#ffff00,BVBL1218DSE  1,Bobcat Wielsbeke DSE A,#0000ff,30-08-2025,1756577700000,BVBL100343,Rode Los,BVBL25261037OR000405,BBC Haantjes Oudenaarde OEFEN,,18.15,"['Cedric De Weirt', 'Jens Vanwynsberghe']"
BVBL25261037OR00040507,OR0004050701,BVBL1037J18  1,BBC Haantjes Certifisc Oudenaarde J18 A,#ffff00,BVBL1141J18  1,BBC Olympia Denderleeuw J18 A,#00be00,30-08-2025,1756580400000,BVBL100343,Rode Los,BVBL25261037OR000405,BBC Haantjes Oudenaarde OEFEN,,19.00,"['Roland Picavet', 'Luc Defour']"
BVBL25261037OR00040509,OR0004050901,BVBL1037J16  2,BBC Haantjes Certifisc Oudenaarde J16 B,#ffff00,BVBL1227J16  1,Olympos Marke J16 A,#00ff00,30-08-2025,1756573200000,BVBL100343,Rode Los,BVBL25261037OR000405,BBC Haantjes Oudenaarde OEFEN,,17.00,"['Kris Christiaens', 'Pieter-Jan Maes']"
BVBL25261037OR00040510,OR0004051001,BVBL1037M16  1,BBC Haantjes Certifisc Oudenaarde M16 A,#ffff00,BVBL1426M16  2,Basket SKT Ieper M16 B,#0000ff,30-08-2025,1756566000000,BVBL100343,Rode Los,BVBL25261037OR000405,BBC Haantjes Oudenaarde OEFEN,,15.00,"['Kris Christiaens', 'Pieter-Jan Maes']"
BVBL25261037OR00040511,OR0004051101,BVBL1037G12  3,BBC Haantjes Certifisc Oudenaarde G12 C,#ffff00,BVBL1068G12  1,ABO LDP Donza G12 A,#000000,30-08-2025,1756548900000,BVBL100343,Rode Los,BVBL25261037OR000405,BBC Haantjes Oudenaarde OEFEN,,10.15,
BVBL25261037OR00040512,OR0004051201,BVBL1037G12  1,BBC Haantjes Certifisc Oudenaarde G12 A,#ffff00,BVBL1034G12  1,G&V Breakpoint Basket Waregem G12 A,#ff0000,30-08-2025,1756555200000,BVBL100343,Rode Los,BVBL25261037OR000405,BBC Haantjes Oudenaarde OEFEN,,12.00,
BVBL25261037OR00040513,OR0004051301,BVBL1037HSE  1,BBC Haantjes Certifisc Oudenaarde HSE A,#ffff00,BVBL1514xxx000,BGBC Celles HSE,,30-08-2025,1756585800000,BVBL100343,Rode Los,BVBL25261037OR000405,BBC Haantjes Oudenaarde OEFEN,,20.30,"['Cedric De Weirt', 'Jens Van Troye']"
BVBL25261037OR00040515,OR0004051501,BVBL1037G10  2,BBC Haantjes Certifisc Oudenaarde G10 B,#ffff00,BVBL1037G10  3,BBC Haantjes Certifisc Oudenaarde G10 C,#ffff00,30-08-2025,1756542600000,BVBL100343,Rode Los,BVBL25261037OR000405,BBC Haantjes Oudenaarde OEFEN,,08.30,
BVBL25261037OR00040515,OR0004051501,BVBL1037G10  2,BBC Haantjes Certifisc Oudenaarde G10 B,#ffff00,BVBL1037G10  3,BBC Haantjes Certifisc Oudenaarde G10 C,#ffff00,30-08-2025,1756542600000,BVBL100343,Rode Los,BVBL25261037OR000405,BBC Haantjes Oudenaarde OEFEN,,08.30,
BVBL25261037OR00040516,OR0004051601,BVBL1037G08  1,BBC Haantjes Certifisc Oudenaarde G08 A,#ffff00,BVBL1037G08  2,BBC Haantjes Certifisc Oudenaarde G08 B,#ffff00,30-08-2025,1756548000000,BVBL100343,Rode Los,BVBL25261037OR000405,BBC Haantjes Oudenaarde OEFEN,,10.00,
BVBL25261037OR00040516,OR0004051601,BVBL1037G08  1,BBC Haantjes Certifisc Oudenaarde G08 A,#ffff00,BVBL1037G08  2,BBC Haantjes Certifisc Oudenaarde G08 B,#ffff00,30-08-2025,1756548000000,BVBL100343,Rode Los,BVBL25261037OR000405,BBC Haantjes Oudenaarde OEFEN,,10.00,
BVBL25261037OR00040517,OR0004051701,BVBL1037M14  1,BBC Haantjes Certifisc Oudenaarde M14 A,#ffff00,BVBL1037G14  2,BBC Haantjes Certifisc Oudenaarde G14 B,#ffff00,30-08-2025,1756542600000,BVBL100343,Rode Los,BVBL25261037OR000405,BBC Haantjes Oudenaarde OEFEN,,08.30,"['Patrick Van Herzele', 'Ben Van Wetter']"
BVBL25261037OR00040517,OR0004051701,BVBL1037M14  1,BBC Haantjes Certifisc Oudenaarde M14 A,#ffff00,BVBL1037G14  2,BBC Haantjes Certifisc Oudenaarde G14 B,#ffff00,30-08-2025,1756542600000,BVBL100343,Rode Los,BVBL25261037OR000405,BBC Haantjes Oudenaarde OEFEN,,08.30,"['Patrick Van Herzele', 'Ben Van Wetter']"
BVBL25261037OR00040518,OR0004051801,BVBL1037G10  1,BBC Haantjes Certifisc Oudenaarde G10 A,#ffff00,BVBL1034G10  2,G&V Breakpoint Basket Waregem G10 B,#ff0000,30-08-2025,1756553400000,BVBL100343,Rode Los,BVBL25261037OR000405,BBC Haantjes Oudenaarde OEFEN,,11.30,
BVBL25261037OR00040519,OR0004051901,BVBL1037HSE  3,BBC Haantjes Certifisc Oudenaarde HSE C,#ffff00,BVBL1037J18  2,BBC Haantjes Certifisc Oudenaarde J18 B,#ffff00,30-08-2025,1756569600000,BVBL100343,Rode Los,BVBL25261037OR000405,BBC Haantjes Oudenaarde OEFEN,,16.00,"['Grégory Alongi', 'Jens Vanwynsberghe']"
BVBL25261037OR00040519,OR0004051901,BVBL1037HSE  3,BBC Haantjes Certifisc Oudenaarde HSE C,#ffff00,BVBL1037J18  2,BBC Haantjes Certifisc Oudenaarde J18 B,#ffff00,30-08-2025,1756569600000,BVBL100343,Rode Los,BVBL25261037OR000405,BBC Haantjes Oudenaarde OEFEN,,16.00,"['Grégory Alongi', 'Jens Vanwynsberghe']"
BVBL25261037OR00040521,OR0004052101,BVBL1037M19  1,BBC Haantjes Certifisc Oudenaarde M19 A,#ffff00,BVBL1048M19  1,Blue Rocks Ronse-Kluisbergen M19 A,#ff8000,30-08-2025,1756562400000,BVBL100343,Rode Los,BVBL25261037OR000405,BBC Haantjes Oudenaarde OEFEN,,14.00,"['Xavier Bernard', 'Davy Rogge']"
BVBL25261037OR00040522,OR0004052201,BVBL1037G12  2,BBC Haantjes Certifisc Oudenaarde G12 B,#ffff00,BVBL1441G12  1,Koninklijke Basket Avelgem G12 A,#ffff00,30-08-2025,1756559700000,BVBL100343,Rode Los,BVBL25261037OR000405,BBC Haantjes Oudenaarde OEFEN,,13.15,
BVBL25269100BLAJ16PBDA,BLAJ16PBDA02,BVBL1465J16  1,Hubo Limburg United J16 A,#ffffff,BVBL1037J16  1,BBC Haantjes Certifisc Oudenaarde J16 A,#ffff00,30-08-2025,1756557000000,BVBL100610,Alverberg,BVBL25269100BLAJ16PB,Beker van Vlaanderen U16 Poule B,,12.30,"['Davy Put', 'David Van Lishout']"
BVBL25269100BLAG14PCDA,BLAG14PCDA02,BVBL1125G14  1,Stella Artois Leuven Bears G14 A,#000000,BVBL1037G14  1,BBC Haantjes Certifisc Oudenaarde G14 A,#ffff00,31-08-2025,1756638000000,BVBL100669,Stedelijke Sportzaal Wilsele Centrum,BVBL25269100BLAG14PC,Beker van Vlaanderen U14 Poule C,,11.00,
BVBL25269130BOVHSEVR03,BOVHSEVR0301,BVBL1404HSE  1,BBC Hotshots Destelbergen HSE A,#5f021f,BVBL1037HSE  2,BBC Haantjes Certifisc Oudenaarde HSE B,#ffff00,31-08-2025,1756638000000,BVBL500413,Sporthal Bergenmeers,BVBL25269130BOVHSEVR,Beker van Oost-Vlaanderen Heren Voorronde,,11.00,
BVBL25261037OR00040505,OR0004050501,BVBL1037HSE  2,BBC Haantjes Certifisc Oudenaarde HSE B,#ffff00,BVBL1048HSE  2,Blue Rocks Ronse-Kluisbergen HSE B,#ff8c00,06-09-2025,1757187000000,BVBL100343,Rode Los,BVBL25261037OR000405,BBC Haantjes Oudenaarde OEFEN,,19.30,
BVBL25261037OR00040520,OR0004052001,BVBL1037G12  3,BBC Haantjes Certifisc Oudenaarde G12 C,#ffff00,BVBL1068G12  2,ABO LDP Donza G12 B,#000000,06-09-2025,1757152800000,BVBL100343,Rode Los,BVBL25261037OR000405,BBC Haantjes Oudenaarde OEFEN,,10.00,
BVBL25261257OR00189602,OR0018960201,BVBL1257DSE  1,BC Grimbergen DSE A,#ffff00,BVBL1037DSE  1,BBC Haantjes Certifisc Oudenaarde DSE A,#ffff00,06-09-2025,1757190600000,BVBL100200,Sporthal Borgt,BVBL25261257OR001896,BC Grimbergen OEFEN,,20.30,
BVBL25269100BLAG14PCAC,BLAG14PCAC03,BVBL1037G14  1,BBC Haantjes Certifisc Oudenaarde G14 A,#ffff00,BVBL1449G14  1,Bavi Vilvoorde G14 A,#ffa500,06-09-2025,1757165400000,BVBL100343,Rode Los,BVBL25269100BLAG14PC,Beker van Vlaanderen U14 Poule C,,13.30,
BVBL25269100BLAHSEPGBD,BLAHSEPGBD04,BVBL1102HSE  1,Geranimo Bornem Basket HSE A,#ffffff,BVBL1037HSE  1,BBC Haantjes Certifisc Oudenaarde HSE A,#ffff00,06-09-2025,1757189700000,BVBL100381,Sporthal Breeven,BVBL25269100BLAHSEPG,Beker van Vlaanderen Heren Poule G,,20.15,
BVBL25269100BLAJ16PBAC,BLAJ16PBAC03,BVBL1037J16  1,BBC Haantjes Certifisc Oudenaarde J16 A,#ffff00,BVBL1092J16  1,Basket Malle J16 A,#0000ff,06-09-2025,1757169900000,BVBL100343,Rode Los,BVBL25269100BLAJ16PB,Beker van Vlaanderen U16 Poule B,,14.45,
BVBL25269100BLAJ18PNAC,BLAJ18PNAC03,BVBL1037J18  1,BBC Haantjes Certifisc Oudenaarde J18 A,#ffff00,BVBL1505J18  1,Phantoms Basket Boom J18 A,#ffffff,06-09-2025,1757178000000,BVBL100343,Rode Los,BVBL25269100BLAJ18PN,Beker van Vlaanderen U18 Poule N,,17.00,
BVBL25269130BOVG121609,BOVG12160901,BVBL1037G12  1,BBC Haantjes Certifisc Oudenaarde G12 A,#ffff00,BVBL1123G12  1,BC Black Boys Erpe-Mere G12 A,#000000,06-09-2025,1757161800000,BVBL100343,Rode Los,BVBL25269130BOVG1216,Beker van Oost-Vlaanderen U12 Gemengd 1/16 Finale,,12.30,
BVBL25269130BOVJ161601,BOVJ16160101,BVBL1161J16  2,KBBC Bavi Gent J16 B,#0000ff,BVBL1037J16  2,BBC Haantjes Certifisc Oudenaarde J16 B,#ffff00,06-09-2025,1757172600000,BVBL100305,Sporthal Neptunus,BVBL25269130BOVJ1616,Beker van Oost-Vlaanderen U16 Jongens 1/16 Finale,,15.30,
BVBL25261037OR00040502,OR0004050201,BVBL1037DSE  1,BBC Haantjes Certifisc Oudenaarde DSE A,#ffff00,BVBL1034DSE  4,G&V Breakpoint Basket Waregem DSE D,#ff0000,07-09-2025,1757264400000,BVBL100343,Rode Los,BVBL25261037OR000405,BBC Haantjes Oudenaarde OEFEN,,17.00,
BVBL25261037OR00040508,OR0004050801,BVBL1037J18  1,BBC Haantjes Certifisc Oudenaarde J18 A,#ffff00,BVBL1070J18  1,KBBC Wezen-Vrienden Geraardsbergen J18 A,#ff0000,07-09-2025,1757250000000,BVBL100343,Rode Los,BVBL25261037OR000405,BBC Haantjes Oudenaarde OEFEN,,13.00,
BVBL25269130BOVG141609,BOVG14160901,BVBL1343G14  1,Basket Meetjesland G14 A,#000000,BVBL1037G14  2,BBC Haantjes Certifisc Oudenaarde G14 B,#ffff00,07-09-2025,1757244600000,BVBL100331,Sporthal Kaprijke Berkakker,BVBL25269130BOVG1416,Beker van Oost-Vlaanderen U14 Gemengd 1/16 Finale ,,11.30,
BVBL25269130BOVM140803,BOVM14080301,BVBL1037M14  1,BBC Haantjes Certifisc Oudenaarde M14 A,#ffff00,BVBL1029M14  1,Koninklijke Sint-Niklase Condors M14 A,#ffff00,07-09-2025,1757256300000,BVBL100343,Rode Los,BVBL25269130BOVM1408,Beker van Oost-Vlaanderen U14 Meisjes 1/8 Finale,,14.45,
BVBL25269130BOVM160802,BOVM16080201,BVBL1037M16  1,BBC Haantjes Certifisc Oudenaarde M16 A,#ffff00,BVBL1460M16  1,Erembodegem Silverbacks M16 A,#000000,07-09-2025,1757248200000,BVBL100343,Rode Los,BVBL25269130BOVM1608,Beker van Oost-Vlaanderen U16 Meisjes 1/8 Finale,,12.30,
